Id,vitalSignCategoryRefId,gender,minAge,maxAge,minTargetValue,maxTargetValue
100,1000,-1,1,85,90,119
110,1001,-1,1,85,-1,89
120,1002,-1,1,85,120,129
130,1003,-1,1,85,130,139
140,1004,-1,1,85,140,179
150,1005,-1,1,85,180,999
160,1006,-1,1,85,60,79
170,1007,-1,1,85,-1,59
190,1009,-1,1,85,80,89
200,1010,-1,1,85,90,110
210,1011,-1,1,85,120,999
220,1012,-1,1,1,80,160
230,1012,-1,2,2,80,130
240,1012,-1,3,3,80,120
250,1012,-1,4,4,80,120
260,1012,-1,5,5,75,115
270,1012,-1,6,6,75,115
280,1012,-1,7,7,70,110
290,1012,-1,8,8,70,110
300,1012,-1,9,9,70,110
310,1012,-1,10,10,60,100
320,1012,-1,11,11,60,100
330,1012,-1,12,12,60,100
340,1012,-1,13,13,60,100
350,1012,-1,14,14,60,100
360,1012,-1,15,15,60,100
370,1012,-1,16,16,60,100
380,1012,-1,17,17,60,100
390,1012,-1,18,18,60,100
400,1012,-1,19,19,60,100
410,1012,-1,20,20,60,100
420,1012,-1,21,21,60,100
430,1012,-1,22,22,60,100
440,1012,-1,23,23,60,100
450,1012,-1,24,24,60,100
460,1012,-1,25,25,60,100
470,1012,-1,26,26,60,100
480,1012,-1,27,27,60,100
490,1012,-1,28,28,60,100
500,1012,-1,29,29,60,100
510,1012,-1,30,30,60,100
520,1012,-1,31,31,60,100
530,1012,-1,32,32,60,100
540,1012,-1,33,33,60,100
550,1012,-1,34,34,60,100
560,1012,-1,35,35,60,100
570,1012,-1,36,36,60,100
580,1012,-1,37,37,60,100
590,1012,-1,38,38,60,100
600,1012,-1,39,39,60,100
610,1012,-1,40,40,60,100
620,1012,-1,41,41,60,100
630,1012,-1,42,42,60,100
640,1012,-1,43,43,60,100
650,1012,-1,44,44,60,100
660,1012,-1,45,45,60,100
670,1012,-1,46,46,60,100
680,1012,-1,47,47,60,100
690,1012,-1,48,48,60,100
700,1012,-1,49,49,60,100
710,1012,-1,50,50,60,100
720,1012,-1,51,51,60,100
730,1012,-1,52,52,60,100
740,1012,-1,53,53,60,100
750,1012,-1,54,54,60,100
760,1012,-1,55,55,60,100
770,1012,-1,56,56,60,100
780,1012,-1,57,57,60,100
790,1012,-1,58,58,60,100
800,1012,-1,59,59,60,100
810,1012,-1,60,60,60,100
820,1012,-1,61,61,60,100
830,1012,-1,62,62,60,100
840,1012,-1,63,63,60,100
850,1012,-1,64,64,60,100
860,1012,-1,65,65,60,100
870,1012,-1,66,66,60,100
880,1012,-1,67,67,60,100
890,1012,-1,68,68,60,100
900,1012,-1,69,69,60,100
910,1012,-1,70,70,60,100
920,1012,-1,71,71,60,100
930,1012,-1,72,72,60,100
940,1012,-1,73,73,60,100
950,1012,-1,74,74,60,100
960,1012,-1,75,75,60,100
970,1012,-1,76,76,60,100
980,1012,-1,77,77,60,100
990,1012,-1,78,78,60,100
1000,1012,-1,79,79,60,100
1010,1012,-1,80,80,60,100
1020,1012,-1,81,81,60,100
1030,1012,-1,82,82,60,100
1040,1012,-1,83,83,60,100
1050,1012,-1,84,84,60,100
1060,1012,-1,85,85,60,100
1070,1022,-1,1,1,110,186
1080,1022,-1,2,2,109,185
1090,1022,-1,3,3,109,184
1100,1022,-1,4,4,108,184
1110,1022,-1,5,5,108,183
1120,1022,-1,6,6,107,182
1130,1022,-1,7,7,107,181
1140,1022,-1,8,8,106,180
1150,1022,-1,9,9,106,179
1160,1022,-1,10,10,105,179
1170,1022,-1,11,11,105,178
1180,1022,-1,12,12,104,177
1190,1022,-1,13,13,104,176
1200,1022,-1,14,14,103,175
1210,1022,-1,15,15,103,174
1220,1022,-1,16,16,102,173
1230,1022,-1,17,17,102,173
1240,1022,-1,18,18,101,172
1250,1022,-1,19,19,101,171
1260,1022,-1,20,20,100,170
1270,1022,-1,21,21,100,169
1280,1022,-1,22,22,99,168
1290,1022,-1,23,23,99,167
1300,1022,-1,24,24,98,167
1310,1022,-1,25,25,98,166
1320,1022,-1,26,26,97,165
1330,1022,-1,27,27,97,164
1340,1022,-1,28,28,96,163
1350,1022,-1,29,29,96,162
1360,1022,-1,30,30,95,162
1370,1022,-1,31,31,95,161
1380,1022,-1,32,32,94,160
1390,1022,-1,33,33,94,159
1400,1022,-1,34,34,93,158
1410,1022,-1,35,35,93,157
1420,1022,-1,36,36,92,156
1430,1022,-1,37,37,92,156
1440,1022,-1,38,38,91,155
1450,1022,-1,39,39,91,154
1460,1022,-1,40,40,90,153
1470,1022,-1,41,41,90,152
1480,1022,-1,42,42,89,151
1490,1022,-1,43,43,89,150
1500,1022,-1,44,44,88,150
1510,1022,-1,45,45,88,149
1520,1022,-1,46,46,87,148
1530,1022,-1,47,47,87,147
1540,1022,-1,48,48,86,146
1550,1022,-1,49,49,86,145
1560,1022,-1,50,50,85,145
1570,1022,-1,51,51,85,144
1580,1022,-1,52,52,84,143
1590,1022,-1,53,53,84,142
1600,1022,-1,54,54,83,141
1610,1022,-1,55,55,83,140
1620,1022,-1,56,56,82,139
1630,1022,-1,57,57,82,139
1640,1022,-1,58,58,81,138
1650,1022,-1,59,59,81,137
1660,1022,-1,60,60,80,136
1670,1022,-1,61,61,80,135
1680,1022,-1,62,62,79,134
1690,1022,-1,63,63,79,133
1700,1022,-1,64,64,78,133
1710,1022,-1,65,65,78,132
1720,1022,-1,66,66,77,131
1730,1022,-1,67,67,77,130
1740,1022,-1,68,68,76,129
1750,1022,-1,69,69,76,128
1760,1022,-1,70,70,75,128
1770,1022,-1,71,71,75,127
1780,1022,-1,72,72,74,126
1790,1022,-1,73,73,74,125
1800,1022,-1,74,74,73,124
1810,1022,-1,75,75,73,123
1820,1022,-1,76,76,72,122
1830,1022,-1,77,77,72,122
1840,1022,-1,78,78,71,121
1850,1022,-1,79,79,71,120
1860,1022,-1,80,80,70,119
1870,1022,-1,81,81,70,118
1880,1022,-1,82,82,69,117
1890,1022,-1,83,83,69,116
1900,1022,-1,84,84,68,116
1910,1022,-1,85,85,68,115
1920,1013,-1,1,85,-1,5.7
1930,1014,-1,1,85,5.8,6.4
1940,1015,-1,1,85,6.5,14
1950,1016,-1,1,85,-1,100
1960,1017,-1,1,85,101,125
1970,1018,-1,1,85,126,200
1980,1023,-1,1,85,71,139
1990,1024,-1,1,85,140,199
2000,1025,-1,1,85,200,300
2010,1027,-1,1,85,20,70
2020,1028,-1,1,85,301,600
2030,1026,-1,0,1,25,40
2040,1026,-1,2,3,20,30
2050,1026,-1,3,6,18,25
2060,1026,-1,6,12,18,23
2070,1026,-1,13,64,12,18
2080,1026,-1,65,79,12,28
2090,1026,-1,80,100,10,30
2100,1019,-1,0,3,97.9,100.4
2110,1019,-1,4,64,96.3,99.9
2120,1019,-1,65,85,96.3,99.9
2130,1021,-1,0,3,100.5,103
2140,1021,-1,4,64,100,103
2150,1021,-1,65,85,100,103
2160,1030,-1,1,85,19,24.9
2170,1040,-1,1,85,-1,18.9
2180,1050,-1,1,85,25,29.9
2190,1060,-1,1,85,30,39.9
2200,1070,-1,1,85,40,50
